Mean,SD,par,trait
0.000878,0.632685,S,asv_000544
0.012982,0.003707,ResVar,asv_000544
0.004729,0.003607,GenVar,asv_000544
0.265981,0.198848,hsq,asv_000544
0.003212,0.002821,Pi,asv_000549
2405.318848,2113.275146,NnzSnp,asv_000549
2e-06,3e-06,SigmaSq,asv_000549
-0.282389,0.909356,S,asv_000549
0.00424,0.001627,ResVar,asv_000549
0.001453,0.001582,GenVar,asv_000549
0.254955,0.275055,hsq,asv_000549
0.001956,0.002026,Pi,asv_000551
1464.289795,1517.597412,NnzSnp,asv_000551
0,0,SigmaSq,asv_000551
0.17102,0.959517,S,asv_000551
0.001854,0.000253,ResVar,asv_000551
9.6e-05,0.000175,GenVar,asv_000551
0.049318,0.088955,hsq,asv_000551
0.004095,0.003057,Pi,asv_000559
3067.050781,2289.84668,NnzSnp,asv_000559
1.2e-05,2.2e-05,SigmaSq,asv_000559
-0.730451,0.519441,S,asv_000559
0.00725,0.004592,ResVar,asv_000559
0.011578,0.004694,GenVar,asv_000559
0.613648,0.242676,hsq,asv_000559
0.004815,0.002921,Pi,asv_000570
3606.691162,2187.198486,NnzSnp,asv_000570
0,1e-06,SigmaSq,asv_000570
-0.215405,0.53451,S,asv_000570
0.000303,9.2e-05,ResVar,asv_000570
0.000199,9.3e-05,GenVar,asv_000570
0.395401,0.178377,hsq,asv_000570
0.002501,0.002495,Pi,asv_000575
1872.940796,1869.433228,NnzSnp,asv_000575
0,1e-06,SigmaSq,asv_000575
-0.068021,0.853328,S,asv_000575
0.001904,0.000365,ResVar,asv_000575
0.000233,0.000313,GenVar,asv_000575
0.108901,0.14516,hsq,asv_000575
0.002886,0.002782,Pi,asv_000596
2161.47168,2083.908447,NnzSnp,asv_000596
1e-06,2e-06,SigmaSq,asv_000596
0.04203,0.779457,S,asv_000596
0.006651,0.001067,ResVar,asv_000596
0.000595,0.000833,GenVar,asv_000596
0.082243,0.114152,hsq,asv_000596
0.002083,0.002266,Pi,asv_000629
1559.292847,1696.619385,NnzSnp,asv_000629
9e-06,1.1e-05,SigmaSq,asv_000629
0.163608,0.877011,S,asv_000629
0.054041,0.006623,ResVar,asv_000629
0.002325,0.003957,GenVar,asv_000629
0.04123,0.069678,hsq,asv_000629
0.002872,0.002712,Pi,asv_000641
2150.99585,2031.759888,NnzSnp,asv_000641
1e-06,1e-06,SigmaSq,asv_000641
-0.128264,0.864961,S,asv_000641
0.002316,0.000539,ResVar,asv_000641
0.000363,0.000488,GenVar,asv_000641
0.135516,0.180886,hsq,asv_000641
0.002556,0.002313,Pi,asv_000672
1913.882812,1732.283569,NnzSnp,asv_000672
4e-06,7e-06,SigmaSq,asv_000672
0.137508,1.041143,S,asv_000672
0.016255,0.003446,ResVar,asv_000672
0.001948,0.003051,GenVar,asv_000672
0.107038,0.166109,hsq,asv_000672
0.001864,0.001949,Pi,asv_000674
1395.018311,1459.527466,NnzSnp,asv_000674
0,1e-06,SigmaSq,asv_000674
0.212541,0.797358,S,asv_000674
0.001494,0.000166,ResVar,asv_000674
4.8e-05,7.8e-05,GenVar,asv_000674
0.031036,0.050023,hsq,asv_000674
0.002832,0.002416,Pi,asv_000719
2120.951172,1810.148682,NnzSnp,asv_000719
0,0,SigmaSq,asv_000719
-0.135578,0.904727,S,asv_000719
0.000435,0.000119,ResVar,asv_000719
8.2e-05,0.000112,GenVar,asv_000719
0.158287,0.214258,hsq,asv_000719
0.002607,0.002442,Pi,asv_000791
1952.221436,1828.960938,NnzSnp,asv_000791
0,0,SigmaSq,asv_000791
-0.180149,0.839881,S,asv_000791
7.4e-05,2.2e-05,ResVar,asv_000791
2e-05,2.1e-05,GenVar,asv_000791
0.211776,0.219992,hsq,asv_000791
0.00316,0.002719,Pi,asv_000860
2366.693604,2036.026978,NnzSnp,asv_000860
0,1e-06,SigmaSq,asv_000860
-0.67183,0.842921,S,asv_000860
0.000582,0.000289,ResVar,asv_000860
0.000348,0.000288,GenVar,asv_000860
0.373087,0.305003,hsq,asv_000860
0.003306,0.002684,Pi,asv_000862
2475.625977,2010.343994,NnzSnp,asv_000862
1.2e-05,2e-05,SigmaSq,asv_000862
-0.161111,0.749877,S,asv_000862
0.013315,0.004508,ResVar,asv_000862
0.005096,0.004382,GenVar,asv_000862
0.276173,0.234393,hsq,asv_000862
0.003079,0.002966,Pi,asv_000896
2305.947998,2221.339355,NnzSnp,asv_000896
0,1e-06,SigmaSq,asv_000896
-0.08631,0.791006,S,asv_000896
0.00152,0.000321,ResVar,asv_000896
0.00022,0.000286,GenVar,asv_000896
0.126474,0.162197,hsq,asv_000896
0.001885,0.001863,Pi,asv_000906
1410.976318,1395.412964,NnzSnp,asv_000906
1e-06,3e-06,SigmaSq,asv_000906
-0.036064,0.86192,S,asv_000906
0.005886,0.000988,ResVar,asv_000906
0.00052,0.000815,GenVar,asv_000906
0.080982,0.125547,hsq,asv_000906
0.003704,0.002884,Pi,asv_000920
2773.815918,2159.556641,NnzSnp,asv_000920
2e-06,3e-06,SigmaSq,asv_000920
-0.3478,0.703166,S,asv_000920
0.002625,0.001069,ResVar,asv_000920
0.001233,0.00105,GenVar,asv_000920
