Sample_ID,raw_seq_count,filename,genotype,nitrogen,block,sp,spb,subsample,collected_by_person,row,year,pedigree,subpopulation
HAV_2350,107434,HAV_2350_S61_R1_001.fastq.gz,M37W,+N,N,sp3,spb2,rep2,ALB,1528,Y2018,Ames 27133,mixed
HAV_2351,120345,HAV_2351_S6_R1_001.fastq.gz,HP301,+N,N,sp4,spb1,rep1,ALB,1551,Y2018,PI 587131,popcorn
HAV_2352,96805,HAV_2352_S14_R1_001.fastq.gz,HP301,+N,N,sp4,spb1,rep2,ALB,1552,Y2018,PI 587131,popcorn
HAV_2353,85867,HAV_2353_S22_R1_001.fastq.gz,CHECK2,+N,N,sp4,spb1,rep1,ALB,1557,Y2018,B37xMo17,NA
HAV_2354,99142,HAV_2354_S30_R1_001.fastq.gz,M162W,+N,N,sp4,spb2,rep1,ALB,1573,Y2018,Ames 27134,nss
HAV_2355,108096,HAV_2355_S38_R1_001.fastq.gz,M162W,+N,N,sp4,spb2,rep2,ALB,1574,Y2018,Ames 27134,nss
HAV_2356,57326,HAV_2356_S46_R1_001.fastq.gz,CHECK,+N,N,sp4,spb2,rep1,ALB,1578,Y2018,B73xMo17,NA
HAV_2357,107128,HAV_2357_S54_R1_001.fastq.gz,A554,-N,N,sp1,spb1,rep1,NF,2015,Y2018,PI 587138,nss
HAV_2358,101319,HAV_2358_S62_R1_001.fastq.gz,A554,-N,N,sp1,spb1,rep2,NF,2016,Y2018,PI 587138,nss
HAV_2359,101044,HAV_2359_S7_R1_001.fastq.gz,SD44,-N,N,sp1,spb3,rep1,ALB,2043,Y2018,PI 524969,nss
HAV_2360,99550,HAV_2360_S15_R1_001.fastq.gz,SD44,-N,N,sp1,spb3,rep2,ALB,2044,Y2018,PI 524969,nss
HAV_2361,90143,HAV_2361_S23_R1_001.fastq.gz,CHECK,-N,N,sp2,spb1,rep1,CRG,2056,Y2018,B73xMo17,NA
HAV_2362,95214,HAV_2362_S31_R1_001.fastq.gz,CHECK,-N,N,sp2,spb2,rep1,CRG,2065,Y2018,B73xMo17,NA
HAV_2363,115219,HAV_2363_S39_R1_001.fastq.gz,CHECK2,-N,N,sp2,spb3,rep1,NF,2086,Y2018,B37xMo17,NA
HAV_2364,55346,HAV_2364_S47_R1_001.fastq.gz,NC358,-N,N,sp2,spb3,rep1,ALB,2095,Y2018,Ames 27175,ts
HAV_2365,109449,HAV_2365_S55_R1_001.fastq.gz,NC358,-N,N,sp2,spb3,rep2,ALB,2096,Y2018,Ames 27175,ts
HAV_2366,100728,HAV_2366_S63_R1_001.fastq.gz,B76,-N,N,sp1,spb1,rep1,CRG,2101,Y2018,PI 550483,ss
HAV_2367,108230,HAV_2367_S8_R1_001.fastq.gz,B76,-N,N,sp1,spb1,rep2,ALB,2102,Y2018,PI 550483,ss
HAV_2368,100999,HAV_2368_S16_R1_001.fastq.gz,CHECK2,-N,N,sp1,spb1,rep1,CRG,2110,Y2018,B37xMo17,NA
HAV_2369,80220,HAV_2369_S24_R1_001.fastq.gz,MT42,-N,N,sp1,spb2,rep1,ALB,2125,Y2018,Ames 20140,mixed
HAV_2370,100090,HAV_2370_S32_R1_001.fastq.gz,MT42,-N,N,sp1,spb2,rep2,CRG,2126,Y2018,Ames 20140,mixed
HAV_2371,106974,HAV_2371_S40_R1_001.fastq.gz,CHECK2,-N,N,sp1,spb2,rep1,NF,2127,Y2018,B37xMo17,NA
HAV_2372,34684,HAV_2372_S48_R1_001.fastq.gz,OH43,-N,N,sp1,spb3,rep1,CRG,2143,Y2018,Ames 19288,nss
HAV_2373,106905,HAV_2373_S56_R1_001.fastq.gz,OH43,-N,N,sp1,spb3,rep2,CRG,2144,Y2018,Ames 19288,nss
HAV_2374,107826,HAV_2374_S64_R1_001.fastq.gz,HP301,-N,N,sp2,spb1,rep1,CRG,2157,Y2018,PI 587131,popcorn
HAV_2375,124505,HAV_2375_S65_R1_001.fastq.gz,HP301,-N,N,sp2,spb1,rep2,CRG,2158,Y2018,PI 587131,popcorn
HAV_2376,93023,HAV_2376_S73_R1_001.fastq.gz,N28HT,-N,N,sp2,spb2,rep1,CRG,2175,Y2018,Ames 27138,mixed
HAV_2377,99539,HAV_2377_S81_R1_001.fastq.gz,N28HT,-N,N,sp2,spb2,rep2,CRG,2176,Y2018,Ames 27138,mixed
HAV_2378,93063,HAV_2378_S89_R1_001.fastq.gz,CHECK2,-N,N,sp2,spb2,rep1,CRG,2178,Y2018,B37xMo17,NA
HAV_2379,95280,HAV_2379_S97_R1_001.fastq.gz,VA102,-N,N,sp2,spb3,rep1,CRG,2189,Y2018,PI 587151,nss
HAV_2380,49956,HAV_2380_S105_R1_001.fastq.gz,VA102,-N,N,sp2,spb3,rep2,CRG,2190,Y2018,PI 587151,nss
HAV_2381,103345,HAV_2381_S113_R1_001.fastq.gz,CHECK,-N,N,sp1,spb1,rep1,ALB,2212,Y2018,B73xMo17,NA
HAV_2382,104667,HAV_2382_S121_R1_001.fastq.gz,CHECK,-N,N,sp1,spb2,rep1,CRG,2223,Y2018,B73xMo17,NA
